BRCH,RT_NO,SETY,STYPE,SERV,ROUTENAME,ROUTE_NO,FROM1,TO1,DEP_TIME,ARR_TIME,,
PDR,48Y,I,SLF,C,IBS-THIRUMANGALAM,74C,15P METTUPATTI,INTEGRATED B.S.,8.3,9.2,,
PDR,48Y,I,SLF,C,IBS-THIRUMANGALAM,74C,15P METTUPATTI,INTEGRATED B.S.,18.25,19.15,,
MCB,7,B,SLF,C,PLG-ARAPPALAYAM,57B/,66M USILAMPATTI,PBS,6.55,7.5,,
MCB,7,B,SLF,C,PLG-ARAPPALAYAM,57B/,66M USILAMPATTI,PBS,20.3,21.25,,
ENR,57C,A,EXP,C,PBS-SARANTHANGI,57B/,66M USILAMPATTI,PBS,14.3,15.4,,
SVN,L 2A,A,LSS,T,VDI-VALAYAPATTI,L2X,66M USILAMPATTI,PALAMEDU,8.3,8.45,,
ENR,57B,A,EXP,C,PBS-SENTHAMANGALAM,57A,66P METTUPATTI,PBS,8.15,9.3,,
ENR,57B,A,EXP,C,PBS-SENTHAMANGALAM,57A,66P METTUPATTI,PBS,20,21.1,,
MCB,24M,A,EXP,C,PBS-74 MEENAKSHIPURAM,24M,74 MEENAKSHIPURAM,PBS,6.25,7.2,,
MCB,24M,A,EXP,C,PBS-74 MEENAKSHIPURAM,24M,74 MEENAKSHIPURAM,PBS,8.25,9.25,,
MCB,24M,A,EXP,C,PBS-74 MEENAKSHIPURAM,24M,74 MEENAKSHIPURAM,PBS,10.4,11.35,,
MCB,24M,A,EXP,C,PBS-74 MEENAKSHIPURAM,24M,74 MEENAKSHIPURAM,PBS,15.35,16.35,,
MCB,24M,A,EXP,C,PBS-74 MEENAKSHIPURAM,24M,74 MEENAKSHIPURAM,PBS,18.05,19.05,,
MCB,24M,A,EXP,C,PBS-74 MEENAKSHIPURAM,24M,74 MEENAKSHIPURAM,PBS,20.25,21.2,,
CNI,40B,B,EXP,C,PBS-KODIKKULAM,40H,A.ANDIPATTI,PBS,9.25,10.45,,
CNI,40B,B,EXP,C,PBS-KODIKKULAM,40H,A.ANDIPATTI,PBS,20.1,21.35,,
CNI,55L,A,EXP,C,PBS-VALANDHUR,40H,A.ANDIPATTI,PBS,14.55,16.05,,
CNI,27E,A,EXP,C,IBS-A.KOKKULAM,27E,A.KOKKULAM,CHECKANURANI,21.25,21.3,,
CNI,27E,A,EXP,C,IBS-A.KOKKULAM,27E,A.KOKKULAM,INTEGRATED B.S.,9,10.1,,
CNI,27E,A,EXP,C,IBS-A.KOKKULAM,27E,A.KOKKULAM,INTEGRATED B.S.,16.3,17.35,,
BCB,21L,A,SLF,C,PBS-VIRATTIPATHU,40K,A.KOKKULAM,PBS,9.05,9.5,,
BCB,21L,A,SLF,C,PBS-VIRATTIPATHU,40K,A.KOKKULAM,PBS,13.05,13.5,,
BCB,21L,A,SLF,C,PBS-VIRATTIPATHU,40K,A.KOKKULAM,PBS,17.15,18,,
ENR,60B,A,EXP,C,PBS-A.KOVILPATTI,60B,A.KOVILPATTI,PBS,6.2,7.2,,
ENR,60B,A,EXP,C,PBS-A.KOVILPATTI,60B,A.KOVILPATTI,PBS,12.5,13.4,,
ENR,60B,A,EXP,C,PBS-A.KOVILPATTI,60B,A.KOVILPATTI,PBS,17.25,18.15,,
TMG,T 5C,A,LSS,T,TMG-A.KRISHNAPURAM,T5A,A.KRISHNAPURAM,THIRUMANGALAM,7,8.15,,
TPM,32B,C,LSS,C,PBS-THIRUPPUVANAM PUDUR,32Z,A.MUKKULAM,PBS,6.05,7.35,,
TPM,32V,A,LSS,C,PBS-VALAYALSERI,32Z,A.MUKKULAM,PBS,19,20.3,,
TPM,32V,B,LSS,C,PBS-VALAYALSERI,32Z,A.MUKKULAM,PBS,11,12.3,,
TPM,32B,C,LSS,C,PBS-THIRUPPUVANAM PUDUR,32Z/,A.MUKKULAM,THIRUPPUVANAM,13.3,14.1,,
ENR,57,D,EXP,C,PBS-PALAMEDU,43C,A.PUDUPATTI,PBS,12.5,13.35,,
ENR,57,D,EXP,C,PBS-PALAMEDU,43C,A.PUDUPATTI,PBS,16.2,17.05,,
TMG,48H,A,LSS,C,PBS-J.ALANGULAM,48V,A.THOTTIAPATTI,PBS,8.3,9.35,,
TMG,48H,A,LSS,C,PBS-J.ALANGULAM,48V,A.THOTTIAPATTI,PBS,11.05,12.05,,
TMG,48H,A,LSS,C,PBS-J.ALANGULAM,48V,A.THOTTIAPATTI,PBS,16.2,17.25,,
TMG,48H,A,LSS,C,PBS-J.ALANGULAM,48V,A.THOTTIAPATTI,PBS,18.5,19.55,,
TMG,48EB,B,SLF,C,ARPM-THIRUMANGALAM E.B.,T5B,A.VAGAIKULAM,THIRUMANGALAM,7.5,9,,
TMG,T 5C,A,LSS,T,TMG-A.KRISHNAPURAM,T5B,A.VAGAIKULAM,THIRUMANGALAM,12.05,13.15,,
TMG,T 5C,A,LSS,T,TMG-A.KRISHNAPURAM,T5B,A.VAGAIKULAM,THIRUMANGALAM,16.2,17.35,,
BCB,44,L,SLF,C,PBS-ALAGARKOVIL,44MX,A.VALAYAPATTI,PBS,13.4,14.35,,
